sample,plot,year,OM,ENR,P1,P2,PH,K,MG,CA,NA,H,CEC,K_PCT,MG_PCT,CA_PCT,H_PCT,NA_PCT,NO3_N,S,ZN,MN,FE,CU,B,EX__LIME,S__SALTS,SAND,SILT,CLAY,TEXTURE,,,,,,,,,,,,,,,,,,,
eo12,ma,july 2014,0.1,33,21,21,7.2,75,49,369,43,0,3,7,15,70,0,7,6,11,0.5,6,6,0.2,0.2,M,0,84,6,10,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo12,mb,july2014,0.2,34,19,35,6.0,82,64,189,49,0,2,10,24,42,15,10,5,118,0.3,7,15,0.2,0.2,L,0,86,6,8,SAND,,,,,,,,,,,,,,,,,,,
eo12,mc,july2014,0.2,34,18,23,5.0,84,46,159,54,1,3,8,14,29,41,9,5,6,0.7,9,27,0.5,0.2,L,0,84,6,10,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo12,ma,feb 2015,1.6,61,45,93,7.2,69,80,1125,45,0,7,3,10,85,0,3,6,4,1.5,9,5,0.1,0.4,M,0,80,10,10,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo12,ma,march2015,0.6,42,31,59,6.8,75,71,595,38,0,4,5,15,74,3,4,2,5,0.9,6,6,0.1,0.2,M,0,85,6,9,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo12,ma,april2015,0.7,44,49,132,7.5,100,99,1677,35,,10,3,9,87,0,2,4,5,1.7,38,11,0.4,0.4,M,0,88,4,8,SAND,,,,,,,,,,,,,,,,,,,
eo12,ma,may2015,0.3,37,22,25.2,6.4,165,62,463,37,0,4,11,14,62,9,4,6,9,1.3,47,21,0.4,0.2,,0,87,6,7,SAND,,,,,,,,,,,,,,,,,,,
eo12,ma,feb2016,1,43,30,38.5,6.5,38,46,393,32,0.2,2.8,3.5,14,70,8,5.0,4,2,1,3,6,0.1,0.4,,0,88,0,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo12,ma,april2016,1,47,35,48.5,7.4,129,62,757,39,0,4.8,6.9,10.6,78.9,0,3.6,5,7,1,7,7,0,0,,0,90.4,4,5.6,SAND,,,,,,,,,,,,,,,,,,,
eo12exp,,feb2015,0.9,48,17,20,4.7,96,162,292,114,4,7,3,19,20,51,7,6,6,0.9,9,18,0.1,0.4,M,0,78,10,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo12exp,,feb2016,2,62,24,24.3,4.4,94,111,170,62,3.7,6,4,15,14,62,4.5,5,5,1,8,32,0.2,0.3,,0,80,8,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo13,ma,july2014,0.3,36,24,25,5.1,80,59,215,56,1,3,6,15,33,38,8,5,5,0.7,8,31,0.2,0.2,M,0,86,6,8,SAND,,,,,,,,,,,,,,,,,,,
eo13,mb,july2014,0.3,36,26,28,5.0,87,65,191,58,1,3,7,16,29,41,8,5,5,0.6,13,43,0.2,0.2,L,0,84,6,10,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo14,ma,july2014,0.7,45,34,37,4.9,91,73,282,62,2,5,5,13,31,44,6,8,9,1.3,18,68,0.3,0.1,L,0,84,2,14,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo14,mb,july2014,0.8,46,29,32,4.6,68,55,205,60,2,4,4,11,25,54,6,7,6,1.3,12,65,0.3,0.1,M,0,86,4,10,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo14,ma,feb 2015,1.4,58,23,25,4.6,71,92,446,81,4,8,2,10,29,54,5,4,8,1.0,14,38,0.1,0.4,M,0,80,8,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo14,ma,march2015,1.1,53,28,33,4.8,80,95,396,73,3,6,3,13,32,47,5,9,4,1.1,14,38,0.2,0.3,M,0,85,8,7,LOAMY SAND,,,,,,,,,,,,,,,,,,,
eo14,ma,april2015,1.5,60,25,33,4.9,114,105,419,51,,6,5,14,34,44,4,9,3,1.5,22,59,0.4,0.1,M,0,82,6,12,LOAMY SAND,,,,,,,,,,,,,,,,,,,
