sample_nr,season,pH,K,Mg,Ca,Na,S,Zn,Mn,Fe,Cu,B,X,X1,X2
1,December,6.5,38,46,393,32,2,1,3,6,0.1,0.4,, , 
2,December,5.1,53,88,525,55,12,13.2,15,37,0.7,0.5, , , 
3,December,7.2,69,80,1125,45,4,1.5,9,5,0.1,0.4, , , 
4,December,5.1,92,89,484,63,4,12.4,13,104,0.7,0.5, , , 
5,December,7.5,100,99,1677,35,5,1.7,38,11,0.4,0.4, , , 
6,December,4.9,114,105,419,51,3,1.5,22,59,0.4,0.1, , , 
7,Desember,5.3,128,102,652,44,5,19.8,41,58,1.2,0.2, ,, 
8,December,7.4,129,62,757,39,7,1,7,7,0,0, ,, 
9,December,6.6,158,182,449,67,13,1,15,15,0,0, ,,
10,Desember,4.5,164,189,376,57,5,1,18,24,0.2,0.1,,,
11,December,4.5,164,189,376,57,5,1,18,24,0.2,0.1,,,
12,December,6.4,165,62,463,37,9,1.3,47,21,0.4,0.2,,,
13,December,4.7,169,85,397,91,13,15,8,47,0,0,,,
14,December,4.7,178,81,351,67,15,1,13,43,0,0,,,
15,December,4.9,210,90,582,56,11,26.9,51,53,1.1,0.5,,,
16,Desember,5.3,221,223,1026,118,5,3.6,21,40,0.4,0.6,,,
17,December,4.9,265,360,996,103,7,4,42,58,1,1,,,
18,Desember,5,271,209,754,61,4,10,48,74,0.6,0.5,,,
19,July,4.6,68,55,205,60,6,1.3,12,65,0.3,0.1,,,
20,July,4.6,71,92,446,81,8,1,14,38,0.1,0.4,,,
21,July,7.2,75,49,369,43,11,0.5,6,6,0.2,0.2,,,
22,July,6.8,75,71,595,38,5,0.9,6,6,0.1,0.2,,,
23,July,5.1,80,59,215,56,5,0.7,8,31,0.2,0.2,,,
24,July,4.8,80,95,396,73,4,1.1,14,38,0.2,0.3,,,
25,July,4.8,81,95,390,73,5,1.2,14,38,0.2,0.3,,,
26,Jul,6,82,64,189,49,118,0.3,7,15,0.2,0.2,,,
27,July,5,84,46,159,54,6,0.7,9,27,0.5,0.2,,,
28,July,5,87,65,191,58,5,0.6,13,43,0.2,0.2,,,
29,July,5.5,89,156,449,53,14,0.5,6,11,0.1,0.3,,,
30,Jul,4.9,91,73,282,62,9,1.3,18,68,0.3,0.1,,,
31,July,5.3,92,135,657,62,3,31,43,22,1.1,0.6,,,
32,July,4.4,94,111,,62,5,1,,32,0.2,,,,
33,July,4.7,96,162,292,114,6,0.9,9,18,0.1,0.4,,,
34,Jul,4.6,108,78,241,55,4,1,12,28,0.2,0.2,,,
35,July,5.3,130,145,349,56,3,1,11,13,0.1,0.2,,,
36,Jul,5.6,141,131,663,47,3,1,75,43,0.5,0.1,,,
37,July,5.5,144,132,481,46,6,0.9,13,19,0.2,0.6,,,
