serial_number;tree_location;date_time;date (mdy);time;rh;t_rh;t;l1;battery
SN319439 (jsi_pnt_1);T27;7/18/2016 4:00:00 AM;7/18/2016;4:00:00 AM;92,3;15,68999958;15,7;0;3,9
SN319439 (jsi_pnt_1);T27;7/18/2016 8:00:00 AM;7/18/2016;8:00:00 AM;92,7;16,47999954;16,3;629,8468018;3,9
SN319439 (jsi_pnt_1);T27;7/18/2016 12:00:00 PM;7/18/2016;12:00:00 PM;90,4;20,20000076;20,3;3072,557129;3,9
SN319439 (jsi_pnt_1);T27;7/18/2016 4:00:00 PM;7/18/2016;4:00:00 PM;91,4;19,47999954;19,6;1363,755249;3,9
SN319439 (jsi_pnt_1);T27;7/18/2016 8:00:00 PM;7/18/2016;8:00:00 PM;91,6;17,76000023;17,8;0;3,9
SN319439 (jsi_pnt_1);T27;7/19/2016 12:00:00 AM;7/19/2016;12:00:00 AM;92,1;16,86000061;16,8;0;3,9
SN319439 (jsi_pnt_1);T27;7/19/2016 4:00:00 AM;7/19/2016;4:00:00 AM;92,4;16,05999947;16,1;0;3,9
SN319439 (jsi_pnt_1);T27;7/19/2016 8:00:00 AM;7/19/2016;8:00:00 AM;92,7;16,37999916;16,1;618,8929443;3,9
SN319439 (jsi_pnt_1);T27;7/19/2016 12:00:00 PM;7/19/2016;12:00:00 PM;90,7;20,23999977;20,4;3735,265381;3,9
SN319439 (jsi_pnt_1);T27;7/19/2016 4:00:00 PM;7/19/2016;4:00:00 PM;92,6;18,42000008;18,6;410,7696533;3,9
SN319439 (jsi_pnt_1);T27;7/19/2016 8:00:00 PM;7/19/2016;8:00:00 PM;92,2;17,09000015;17,1;0;3,9
SN319439 (jsi_pnt_1);T27;7/20/2016 12:00:00 AM;7/20/2016;12:00:00 AM;92,5;16,04000092;16,1;0;3,9
SN319439 (jsi_pnt_1);T27;7/20/2016 4:00:00 AM;7/20/2016;4:00:00 AM;92,9;15,27999973;15,3;0;3,9
SN319439 (jsi_pnt_1);T27;7/20/2016 8:00:00 AM;7/20/2016;8:00:00 AM;93,1;15,56000042;15,3;224,5540771;3,9
SN319439 (jsi_pnt_1);T27;7/20/2016 12:00:00 PM;7/20/2016;12:00:00 PM;91,1;18,94000053;19,3;1489,724609;3,9
SN319439 (jsi_pnt_1);T27;7/20/2016 4:00:00 PM;7/20/2016;4:00:00 PM;92,1;18,95999908;19,1;438,1542969;3,9
SN319439 (jsi_pnt_1);T27;7/20/2016 8:00:00 PM;7/20/2016;8:00:00 PM;92,5;17,67000008;17,6;0;3,9
SN319439 (jsi_pnt_1);T27;7/21/2016 12:00:00 AM;7/21/2016;12:00:00 AM;92,9;17,10000038;17,1;0;3,9
SN319439 (jsi_pnt_1);T27;7/21/2016 4:00:00 AM;7/21/2016;4:00:00 AM;93,4;14,25;14,1;0;3,9
SN319439 (jsi_pnt_1);T27;7/21/2016 8:00:00 AM;7/21/2016;8:00:00 AM;93,6;14,5;14,3;471,0158691;3,9
SN319439 (jsi_pnt_1);T27;7/21/2016 12:00:00 PM;7/21/2016;12:00:00 PM;85,8;20,86000061;19,3;909,170166;3,9
SN319439 (jsi_pnt_1);T27;7/21/2016 8:00:00 PM;7/21/2016;8:00:00 PM;95,5;18,11000061;18;0;3,9
SN319439 (jsi_pnt_1);T27;7/22/2016 12:00:00 AM;7/22/2016;12:00:00 AM;93,9;16,63999939;16,6;0;3,9
SN319439 (jsi_pnt_1);T27;7/22/2016 4:00:00 AM;7/22/2016;4:00:00 AM;95;14,96000004;14,9;0;3,9
SN319439 (jsi_pnt_1);T27;7/22/2016 8:00:00 AM;7/22/2016;8:00:00 AM;94,5;16,23999977;15,6;377,9080811;3,9
SN319439 (jsi_pnt_1);T27;7/22/2016 4:00:00 PM;7/22/2016;4:00:00 PM;93,3;17,88999939;18;164,3078613;3,9
SN319439 (jsi_pnt_1);T27;7/22/2016 8:00:00 PM;7/22/2016;8:00:00 PM;93,3;16,30999947;16,4;0;3,9
SN319439 (jsi_pnt_1);T27;7/23/2016 12:00:00 AM;7/23/2016;12:00:00 AM;93,4;14,94999981;14,9;0;3,9
SN319439 (jsi_pnt_1);T27;7/23/2016 4:00:00 AM;7/23/2016;4:00:00 AM;93,7;14,17000008;14,1;0;3,9
SN319439 (jsi_pnt_1);T27;7/23/2016 8:00:00 AM;7/23/2016;8:00:00 AM;94;15,77999973;15,5;547,6928711;3,9
SN319439 (jsi_pnt_1);T27;7/25/2016 12:00:00 AM;7/25/2016;12:00:00 AM;93,8;13,38000011;13,3;0;3,9
SN319439 (jsi_pnt_1);T27;7/25/2016 4:00:00 AM;7/25/2016;4:00:00 AM;93,9;11,88000011;11,9;0;3,9
